Hour,Node,Demand_kWh,Loss_Percentage,Storage_Capacity_kWh,Source,Supply_kWh,Cost_per_kWh
1,Node_26,56,8.78,471,Hydro,334,0.17
1,Node_27,81,5.43,313,Solar,450,0.11
1,Node_27,81,5.43,313,Wind,453,0.17
1,Node_27,81,5.43,313,Hydro,368,0.17
1,Node_28,163,3.13,242,Solar,535,0.11
1,Node_28,163,3.13,242,Wind,592,0.17
1,Node_28,163,3.13,242,Hydro,348,0.17
1,Node_29,138,7.31,475,Solar,523,0.11
1,Node_29,138,7.31,475,Wind,529,0.17
1,Node_29,138,7.31,475,Hydro,373,0.17
1,Node_3,152,9.84,243,Solar,502,0.11
1,Node_3,152,9.84,243,Wind,501,0.17
1,Node_3,152,9.84,243,Hydro,491,0.17
1,Node_30,70,3.73,331,Solar,555,0.11
1,Node_30,70,3.73,331,Wind,337,0.17
1,Node_30,70,3.73,331,Hydro,560,0.17
1,Node_4,97,3.16,467,Solar,385,0.11
1,Node_4,97,3.16,467,Wind,559,0.17
1,Node_4,97,3.16,467,Hydro,369,0.17
1,Node_5,163,7.8,224,Solar,449,0.11
1,Node_5,163,7.8,224,Wind,487,0.17
1,Node_5,163,7.8,224,Hydro,389,0.17
1,Node_6,176,3.53,266,Solar,534,0.11
1,Node_6,176,3.53,266,Wind,356,0.17
1,Node_6,176,3.53,266,Hydro,559,0.17
1,Node_7,154,4.71,185,Solar,321,0.11
1,Node_7,154,4.71,185,Wind,319,0.17
1,Node_7,154,4.71,185,Hydro,425,0.17
1,Node_8,194,4.47,175,Solar,584,0.11
1,Node_8,194,4.47,175,Wind,572,0.17
1,Node_8,194,4.47,175,Hydro,530,0.17
1,Node_9,158,9.58,443,Solar,568,0.11
1,Node_9,158,9.58,443,Wind,418,0.17
1,Node_9,158,9.58,443,Hydro,594,0.17
2,Node_1,142,7.0,429,Solar,557,0.11
2,Node_1,142,7.0,429,Wind,370,0.17
2,Node_1,142,7.0,429,Hydro,428,0.17
2,Node_10,181,9.74,393,Solar,328,0.11
2,Node_10,181,9.74,393,Wind,303,0.17
2,Node_10,181,9.74,393,Hydro,579,0.17
2,Node_11,56,3.46,158,Solar,512,0.11
2,Node_11,56,3.46,158,Wind,520,0.17
2,Node_11,56,3.46,158,Hydro,399,0.17
2,Node_12,167,2.18,237,Solar,582,0.11
2,Node_12,167,2.18,237,Wind,313,0.17
2,Node_12,167,2.18,237,Hydro,596,0.17
2,Node_13,153,7.76,198,Solar,349,0.11
2,Node_13,153,7.76,198,Wind,302,0.17
2,Node_13,153,7.76,198,Hydro,481,0.17
2,Node_14,176,5.34,291,Solar,394,0.11
2,Node_14,176,5.34,291,Wind,515,0.17
2,Node_14,176,5.34,291,Hydro,473,0.17
2,Node_15,163,2.71,342,Solar,387,0.11
2,Node_15,163,2.71,342,Wind,528,0.17
2,Node_15,163,2.71,342,Hydro,487,0.17
2,Node_16,63,7.47,418,Solar,343,0.11
2,Node_16,63,7.47,418,Wind,485,0.17
2,Node_16,63,7.47,418,Hydro,356,0.17
2,Node_17,74,6.36,148,Solar,577,0.11
2,Node_17,74,6.36,148,Wind,354,0.17
2,Node_17,74,6.36,148,Hydro,330,0.17
2,Node_18,190,9.84,131,Solar,470,0.11
2,Node_18,190,9.84,131,Wind,553,0.17
2,Node_18,190,9.84,131,Hydro,383,0.17
2,Node_19,117,3.82,490,Solar,488,0.11
2,Node_19,117,3.82,490,Wind,323,0.17
2,Node_19,117,3.82,490,Hydro,451,0.17
2,Node_2,64,5.96,197,Solar,483,0.11
2,Node_2,64,5.96,197,Wind,461,0.17
2,Node_2,64,5.96,197,Hydro,335,0.17
2,Node_20,147,5.23,376,Solar,302,0.11
2,Node_20,147,5.23,376,Wind,457,0.17
2,Node_20,147,5.23,376,Hydro,512,0.17
2,Node_21,194,6.34,119,Solar,490,0.11
2,Node_21,194,6.34,119,Wind,381,0.17
2,Node_21,194,6.34,119,Hydro,405,0.17
2,Node_22,122,8.33,253,Solar,417,0.11
2,Node_22,122,8.33,253,Wind,458,0.17
2,Node_22,122,8.33,253,Hydro,519,0.17
2,Node_23,164,6.39,482,Solar,318,0.11
2,Node_23,164,6.39,482,Wind,487,0.17
2,Node_23,164,6.39,482,Hydro,462,0.17
2,Node_24,75,6.9,167,Solar,322,0.11
2,Node_24,75,6.9,167,Wind,359,0.17
2,Node_24,75,6.9,167,Hydro,519,0.17
2,Node_25,124,3.81,465,Solar,329,0.11
2,Node_25,124,3.81,465,Wind,510,0.17
2,Node_25,124,3.81,465,Hydro,569,0.17
2,Node_26,144,8.78,471,Solar,594,0.11
2,Node_26,144,8.78,471,Wind,451,0.17
2,Node_26,144,8.78,471,Hydro,419,0.17
2,Node_27,158,5.43,313,Solar,407,0.11
2,Node_27,158,5.43,313,Wind,408,0.17
2,Node_27,158,5.43,313,Hydro,481,0.17
2,Node_28,115,3.13,242,Solar,580,0.11
2,Node_28,115,3.13,242,Wind,375,0.17
2,Node_28,115,3.13,242,Hydro,405,0.17
2,Node_29,179,7.31,475,Solar,427,0.11
2,Node_29,179,7.31,475,Wind,329,0.17
2,Node_29,179,7.31,475,Hydro,516,0.17
2,Node_3,186,9.84,243,Solar,528,0.11
2,Node_3,186,9.84,243,Wind,416,0.17
2,Node_3,186,9.84,243,Hydro,504,0.17
2,Node_30,77,3.73,331,Solar,410,0.11
2,Node_30,77,3.73,331,Wind,491,0.17
2,Node_30,77,3.73,331,Hydro,369,0.17
2,Node_4,180,3.16,467,Solar,435,0.11
2,Node_4,180,3.16,467,Wind,318,0.17
2,Node_4,180,3.16,467,Hydro,343,0.17
2,Node_5,81,7.8,224,Solar,485,0.11
2,Node_5,81,7.8,224,Wind,472,0.17
2,Node_5,81,7.8,224,Hydro,527,0.17
2,Node_6,186,3.53,266,Solar,443,0.11
2,Node_6,186,3.53,266,Wind,527,0.17
2,Node_6,186,3.53,266,Hydro,483,0.17
2,Node_7,184,4.71,185,Solar,371,0.11
2,Node_7,184,4.71,185,Wind,482,0.17
2,Node_7,184,4.71,185,Hydro,406,0.17
2,Node_8,120,4.47,175,Solar,428,0.11
2,Node_8,120,4.47,175,Wind,412,0.17
2,Node_8,120,4.47,175,Hydro,383,0.17
2,Node_9,54,9.58,443,Solar,560,0.11
2,Node_9,54,9.58,443,Wind,482,0.17
2,Node_9,54,9.58,443,Hydro,549,0.17
3,Node_1,64,7.0,429,Solar,302,0.11
3,Node_1,64,7.0,429,Wind,445,0.17
3,Node_1,64,7.0,429,Hydro,320,0.17
3,Node_10,187,9.74,393,Solar,403,0.11
3,Node_10,187,9.74,393,Wind,415,0.17
3,Node_10,187,9.74,393,Hydro,495,0.17
3,Node_11,52,3.46,158,Solar,523,0.11
3,Node_11,52,3.46,158,Wind,412,0.17
3,Node_11,52,3.46,158,Hydro,477,0.17
3,Node_12,117,2.18,237,Solar,309,0.11
3,Node_12,117,2.18,237,Wind,550,0.17
3,Node_12,117,2.18,237,Hydro,306,0.17
3,Node_13,63,7.76,198,Solar,530,0.11
3,Node_13,63,7.76,198,Wind,550,0.17
3,Node_13,63,7.76,198,Hydro,369,0.17
3,Node_14,155,5.34,291,Solar,518,0.11
3,Node_14,155,5.34,291,Wind,417,0.17
3,Node_14,155,5.34,291,Hydro,426,0.17
3,Node_15,112,2.71,342,Solar,365,0.11
3,Node_15,112,2.71,342,Wind,460,0.17
3,Node_15,112,2.71,342,Hydro,459,0.17
3,Node_16,58,7.47,418,Solar,411,0.11
3,Node_16,58,7.47,418,Wind,497,0.17
3,Node_16,58,7.47,418,Hydro,547,0.17
3,Node_17,88,6.36,148,Solar,312,0.11
3,Node_17,88,6.36,148,Wind,559,0.17
3,Node_17,88,6.36,148,Hydro,502,0.17
3,Node_18,67,9.84,131,Solar,385,0.11
3,Node_18,67,9.84,131,Wind,447,0.17
3,Node_18,67,9.84,131,Hydro,447,0.17
3,Node_19,191,3.82,490,Solar,533,0.11
3,Node_19,191,3.82,490,Wind,539,0.17
3,Node_19,191,3.82,490,Hydro,442,0.17
3,Node_2,94,5.96,197,Solar,389,0.11
3,Node_2,94,5.96,197,Wind,346,0.17
3,Node_2,94,5.96,197,Hydro,498,0.17
3,Node_20,137,5.23,376,Solar,577,0.11
3,Node_20,137,5.23,376,Wind,353,0.17
3,Node_20,137,5.23,376,Hydro,497,0.17
3,Node_21,142,6.34,119,Solar,512,0.11
3,Node_21,142,6.34,119,Wind,311,0.17
3,Node_21,142,6.34,119,Hydro,346,0.17
3,Node_22,152,8.33,253,Solar,471,0.11
3,Node_22,152,8.33,253,Wind,508,0.17
3,Node_22,152,8.33,253,Hydro,377,0.17
3,Node_23,174,6.39,482,Solar,587,0.11
3,Node_23,174,6.39,482,Wind,313,0.17
3,Node_23,174,6.39,482,Hydro,423,0.17
3,Node_24,78,6.9,167,Solar,473,0.11
3,Node_24,78,6.9,167,Wind,420,0.17
3,Node_24,78,6.9,167,Hydro,374,0.17
3,Node_25,178,3.81,465,Solar,412,0.11
3,Node_25,178,3.81,465,Wind,319,0.17
3,Node_25,178,3.81,465,Hydro,436,0.17
3,Node_26,157,8.78,471,Solar,421,0.11
3,Node_26,157,8.78,471,Wind,374,0.17
3,Node_26,157,8.78,471,Hydro,389,0.17
3,Node_27,85,5.43,313,Solar,331,0.11
3,Node_27,85,5.43,313,Wind,542,0.17
3,Node_27,85,5.43,313,Hydro,360,0.17
3,Node_28,154,3.13,242,Solar,521,0.11
3,Node_28,154,3.13,242,Wind,522,0.17
3,Node_28,154,3.13,242,Hydro,437,0.17
3,Node_29,175,7.31,475,Solar,418,0.11
3,Node_29,175,7.31,475,Wind,369,0.17
3,Node_29,175,7.31,475,Hydro,349,0.17
3,Node_3,111,9.84,243,Solar,338,0.11
3,Node_3,111,9.84,243,Wind,510,0.17
3,Node_3,111,9.84,243,Hydro,558,0.17
3,Node_30,83,3.73,331,Solar,567,0.11
3,Node_30,83,3.73,331,Wind,400,0.17
3,Node_30,83,3.73,331,Hydro,406,0.17
3,Node_4,197,3.16,467,Solar,532,0.11
3,Node_4,197,3.16,467,Wind,485,0.17
3,Node_4,197,3.16,467,Hydro,412,0.17
3,Node_5,135,7.8,224,Solar,317,0.11
3,Node_5,135,7.8,224,Wind,431,0.17
3,Node_5,135,7.8,224,Hydro,553,0.17
3,Node_6,189,3.53,266,Solar,448,0.11
3,Node_6,189,3.53,266,Wind,410,0.17
3,Node_6,189,3.53,266,Hydro,417,0.17
3,Node_7,107,4.71,185,Solar,448,0.11
3,Node_7,107,4.71,185,Wind,431,0.17
3,Node_7,107,4.71,185,Hydro,497,0.17
3,Node_8,94,4.47,175,Solar,425,0.11
3,Node_8,94,4.47,175,Wind,319,0.17
3,Node_8,94,4.47,175,Hydro,350,0.17
3,Node_9,168,9.58,443,Solar,537,0.11
3,Node_9,168,9.58,443,Wind,323,0.17
3,Node_9,168,9.58,443,Hydro,544,0.17
4,Node_1,156,7.0,429,Solar,434,0.11
4,Node_1,156,7.0,429,Wind,526,0.17
4,Node_1,156,7.0,429,Hydro,334,0.17
4,Node_10,194,9.74,393,Solar,450,0.11
4,Node_10,194,9.74,393,Wind,453,0.17
4,Node_10,194,9.74,393,Hydro,368,0.17
4,Node_11,160,3.46,158,Solar,535,0.11
4,Node_11,160,3.46,158,Wind,592,0.17
4,Node_11,160,3.46,158,Hydro,348,0.17
4,Node_12,68,2.18,237,Solar,523,0.11
4,Node_12,68,2.18,237,Wind,529,0.17
4,Node_12,68,2.18,237,Hydro,373,0.17
4,Node_13,81,7.76,198,Solar,502,0.11
4,Node_13,81,7.76,198,Wind,501,0.17
4,Node_13,81,7.76,198,Hydro,491,0.17
4,Node_14,141,5.34,291,Solar,555,0.11
4,Node_14,141,5.34,291,Wind,337,0.17
4,Node_14,141,5.34,291,Hydro,560,0.17
4,Node_15,181,2.71,342,Solar,385,0.11
4,Node_15,181,2.71,342,Wind,559,0.17
4,Node_15,181,2.71,342,Hydro,369,0.17
4,Node_16,89,7.47,418,Solar,449,0.11
4,Node_16,89,7.47,418,Wind,487,0.17
4,Node_16,89,7.47,418,Hydro,389,0.17
4,Node_17,84,6.36,148,Solar,534,0.11
4,Node_17,84,6.36,148,Wind,356,0.17
4,Node_17,84,6.36,148,Hydro,559,0.17
4,Node_18,145,9.84,131,Solar,321,0.11
4,Node_18,145,9.84,131,Wind,319,0.17
4,Node_18,145,9.84,131,Hydro,425,0.17
4,Node_19,150,3.82,490,Solar,584,0.11
4,Node_19,150,3.82,490,Wind,572,0.17
4,Node_19,150,3.82,490,Hydro,530,0.17
4,Node_2,114,5.96,197,Solar,568,0.11
4,Node_2,114,5.96,197,Wind,418,0.17
4,Node_2,114,5.96,197,Hydro,594,0.17
4,Node_20,158,5.23,376,Solar,557,0.11
4,Node_20,158,5.23,376,Wind,370,0.17
4,Node_20,158,5.23,376,Hydro,428,0.17
4,Node_21,102,6.34,119,Solar,328,0.11
4,Node_21,102,6.34,119,Wind,303,0.17
4,Node_21,102,6.34,119,Hydro,579,0.17
4,Node_22,90,8.33,253,Solar,512,0.11
4,Node_22,90,8.33,253,Wind,520,0.17
4,Node_22,90,8.33,253,Hydro,399,0.17
4,Node_23,61,6.39,482,Solar,582,0.11
4,Node_23,61,6.39,482,Wind,313,0.17
4,Node_23,61,6.39,482,Hydro,596,0.17
4,Node_24,50,6.9,167,Solar,349,0.11
4,Node_24,50,6.9,167,Wind,302,0.17
4,Node_24,50,6.9,167,Hydro,481,0.17
4,Node_25,137,3.81,465,Solar,394,0.11
4,Node_25,137,3.81,465,Wind,515,0.17
4,Node_25,137,3.81,465,Hydro,473,0.17
4,Node_26,123,8.78,471,Solar,387,0.11
4,Node_26,123,8.78,471,Wind,528,0.17
4,Node_26,123,8.78,471,Hydro,487,0.17
4,Node_27,146,5.43,313,Solar,343,0.11
4,Node_27,146,5.43,313,Wind,485,0.17
4,Node_27,146,5.43,313,Hydro,356,0.17
4,Node_28,134,3.13,242,Solar,577,0.11
4,Node_28,134,3.13,242,Wind,354,0.17
4,Node_28,134,3.13,242,Hydro,330,0.17
4,Node_29,60,7.31,475,Solar,470,0.11
4,Node_29,60,7.31,475,Wind,553,0.17
4,Node_29,60,7.31,475,Hydro,383,0.17
4,Node_3,100,9.84,243,Solar,488,0.11
4,Node_3,100,9.84,243,Wind,323,0.17
4,Node_3,100,9.84,243,Hydro,451,0.17
4,Node_30,57,3.73,331,Solar,483,0.11
4,Node_30,57,3.73,331,Wind,461,0.17
4,Node_30,57,3.73,331,Hydro,335,0.17
4,Node_4,103,3.16,467,Solar,302,0.11
4,Node_4,103,3.16,467,Wind,457,0.17
4,Node_4,103,3.16,467,Hydro,512,0.17
4,Node_5,176,7.8,224,Solar,490,0.11
4,Node_5,176,7.8,224,Wind,381,0.17
4,Node_5,176,7.8,224,Hydro,405,0.17
4,Node_6,178,3.53,266,Solar,417,0.11
4,Node_6,178,3.53,266,Wind,458,0.17
4,Node_6,178,3.53,266,Hydro,519,0.17
4,Node_7,163,4.71,185,Solar,318,0.11
4,Node_7,163,4.71,185,Wind,487,0.17
4,Node_7,163,4.71,185,Hydro,462,0.17
4,Node_8,181,4.47,175,Solar,322,0.11
4,Node_8,181,4.47,175,Wind,359,0.17
4,Node_8,181,4.47,175,Hydro,519,0.17
4,Node_9,82,9.58,443,Solar,329,0.11
4,Node_9,82,9.58,443,Wind,510,0.17
4,Node_9,82,9.58,443,Hydro,569,0.17
5,Node_1,121,7.0,429,Solar,594,0.11
5,Node_1,121,7.0,429,Wind,451,0.17
5,Node_1,121,7.0,429,Hydro,419,0.17
5,Node_10,123,9.74,393,Solar,407,0.11
5,Node_10,123,9.74,393,Wind,408,0.17
5,Node_10,123,9.74,393,Hydro,481,0.17
5,Node_11,156,3.46,158,Solar,580,0.11
5,Node_11,156,3.46,158,Wind,375,0.17
5,Node_11,156,3.46,158,Hydro,405,0.17
5,Node_12,69,2.18,237,Solar,427,0.11
5,Node_12,69,2.18,237,Wind,329,0.17
5,Node_12,69,2.18,237,Hydro,516,0.17
5,Node_13,174,7.76,198,Solar,528,0.11
5,Node_13,174,7.76,198,Wind,416,0.17
5,Node_13,174,7.76,198,Hydro,504,0.17
5,Node_14,80,5.34,291,Solar,410,0.11
5,Node_14,80,5.34,291,Wind,491,0.17
5,Node_14,80,5.34,291,Hydro,369,0.17
5,Node_15,178,2.71,342,Solar,435,0.11
5,Node_15,178,2.71,342,Wind,318,0.17
5,Node_15,178,2.71,342,Hydro,343,0.17
5,Node_16,74,7.47,418,Solar,485,0.11
5,Node_16,74,7.47,418,Wind,472,0.17
5,Node_16,74,7.47,418,Hydro,527,0.17
5,Node_17,180,6.36,148,Solar,443,0.11
5,Node_17,180,6.36,148,Wind,527,0.17
5,Node_17,180,6.36,148,Hydro,483,0.17
5,Node_18,172,9.84,131,Solar,371,0.11
5,Node_18,172,9.84,131,Wind,482,0.17
5,Node_18,172,9.84,131,Hydro,406,0.17
5,Node_19,147,3.82,490,Solar,428,0.11
5,Node_19,147,3.82,490,Wind,412,0.17
5,Node_19,147,3.82,490,Hydro,383,0.17
5,Node_2,138,5.96,197,Solar,560,0.11
5,Node_2,138,5.96,197,Wind,482,0.17
5,Node_2,138,5.96,197,Hydro,549,0.17
5,Node_20,119,5.23,376,Solar,302,0.11
5,Node_20,119,5.23,376,Wind,445,0.17
5,Node_20,119,5.23,376,Hydro,320,0.17
5,Node_21,57,6.34,119,Solar,403,0.11
5,Node_21,57,6.34,119,Wind,415,0.17
5,Node_21,57,6.34,119,Hydro,495,0.17
5,Node_22,163,8.33,253,Solar,523,0.11
5,Node_22,163,8.33,253,Wind,412,0.17
5,Node_22,163,8.33,253,Hydro,477,0.17
5,Node_23,180,6.39,482,Solar,309,0.11
5,Node_23,180,6.39,482,Wind,550,0.17
5,Node_23,180,6.39,482,Hydro,306,0.17
5,Node_24,168,6.9,167,Solar,530,0.11
5,Node_24,168,6.9,167,Wind,550,0.17
5,Node_24,168,6.9,167,Hydro,369,0.17
5,Node_25,103,3.81,465,Solar,518,0.11
5,Node_25,103,3.81,465,Wind,417,0.17
5,Node_25,103,3.81,465,Hydro,426,0.17
5,Node_26,88,8.78,471,Solar,365,0.11
5,Node_26,88,8.78,471,Wind,460,0.17
5,Node_26,88,8.78,471,Hydro,459,0.17
5,Node_27,180,5.43,313,Solar,411,0.11
5,Node_27,180,5.43,313,Wind,497,0.17
5,Node_27,180,5.43,313,Hydro,547,0.17
5,Node_28,51,3.13,242,Solar,312,0.11
5,Node_28,51,3.13,242,Wind,559,0.17
5,Node_28,51,3.13,242,Hydro,502,0.17
5,Node_29,105,7.31,475,Solar,385,0.11
5,Node_29,105,7.31,475,Wind,447,0.17
5,Node_29,105,7.31,475,Hydro,447,0.17
5,Node_3,108,9.84,243,Solar,533,0.11
5,Node_3,108,9.84,243,Wind,539,0.17
5,Node_3,108,9.84,243,Hydro,442,0.17
5,Node_30,128,3.73,331,Solar,389,0.11
5,Node_30,128,3.73,331,Wind,346,0.17
5,Node_30,128,3.73,331,Hydro,498,0.17
5,Node_4,169,3.16,467,Solar,577,0.11
5,Node_4,169,3.16,467,Wind,353,0.17
5,Node_4,169,3.16,467,Hydro,497,0.17
5,Node_5,179,7.8,224,Solar,512,0.11
5,Node_5,179,7.8,224,Wind,311,0.17
5,Node_5,179,7.8,224,Hydro,346,0.17
5,Node_6,107,3.53,266,Solar,471,0.11
5,Node_6,107,3.53,266,Wind,508,0.17
5,Node_6,107,3.53,266,Hydro,377,0.17
5,Node_7,124,4.71,185,Solar,587,0.11
5,Node_7,124,4.71,185,Wind,313,0.17
5,Node_7,124,4.71,185,Hydro,423,0.17
5,Node_8,85,4.47,175,Solar,473,0.11
5,Node_8,85,4.47,175,Wind,420,0.17
5,Node_8,85,4.47,175,Hydro,374,0.17
5,Node_9,167,9.58,443,Solar,412,0.11
5,Node_9,167,9.58,443,Wind,319,0.17
5,Node_9,167,9.58,443,Hydro,436,0.17
6,Node_1,70,7.0,429,Solar,421,0.11
6,Node_1,70,7.0,429,Wind,374,0.17
6,Node_1,70,7.0,429,Hydro,389,0.17
6,Node_10,66,9.74,393,Solar,331,0.11
6,Node_10,66,9.74,393,Wind,542,0.17
6,Node_10,66,9.74,393,Hydro,360,0.17
6,Node_11,67,3.46,158,Solar,521,0.11
6,Node_11,67,3.46,158,Wind,522,0.17
6,Node_11,67,3.46,158,Hydro,437,0.17
6,Node_12,162,2.18,237,Solar,418,0.11
6,Node_12,162,2.18,237,Wind,369,0.17
6,Node_12,162,2.18,237,Hydro,349,0.17
6,Node_13,146,7.76,198,Solar,338,0.11
6,Node_13,146,7.76,198,Wind,510,0.17
6,Node_13,146,7.76,198,Hydro,558,0.17
6,Node_14,171,5.34,291,Solar,567,0.11
6,Node_14,171,5.34,291,Wind,400,0.17
6,Node_14,171,5.34,291,Hydro,406,0.17
6,Node_15,57,2.71,342,Solar,532,0.11
6,Node_15,57,2.71,342,Wind,485,0.17
6,Node_15,57,2.71,342,Hydro,412,0.17
6,Node_16,152,7.47,418,Solar,317,0.11
6,Node_16,152,7.47,418,Wind,431,0.17
6,Node_16,152,7.47,418,Hydro,553,0.17
6,Node_17,157,6.36,148,Solar,448,0.11
6,Node_17,157,6.36,148,Wind,410,0.17
6,Node_17,157,6.36,148,Hydro,417,0.17
6,Node_18,88,9.84,131,Solar,448,0.11
6,Node_18,88,9.84,131,Wind,431,0.17
6,Node_18,88,9.84,131,Hydro,497,0.17
6,Node_19,60,3.82,490,Solar,425,0.11
6,Node_19,60,3.82,490,Wind,319,0.17
6,Node_19,60,3.82,490,Hydro,350,0.17
6,Node_2,120,5.96,197,Solar,537,0.11
6,Node_2,120,5.96,197,Wind,323,0.17
6,Node_2,120,5.96,197,Hydro,544,0.17
6,Node_20,123,5.23,376,Solar,434,0.11
6,Node_20,123,5.23,376,Wind,526,0.17
6,Node_20,123,5.23,376,Hydro,334,0.17
6,Node_21,128,6.34,119,Solar,450,0.11
6,Node_21,128,6.34,119,Wind,453,0.17
6,Node_21,128,6.34,119,Hydro,368,0.17
6,Node_22,57,8.33,253,Solar,535,0.11
6,Node_22,57,8.33,253,Wind,592,0.17
6,Node_22,57,8.33,253,Hydro,348,0.17
6,Node_23,67,6.39,482,Solar,523,0.11
6,Node_23,67,6.39,482,Wind,529,0.17
6,Node_23,67,6.39,482,Hydro,373,0.17
6,Node_24,84,6.9,167,Solar,502,0.11
6,Node_24,84,6.9,167,Wind,501,0.17
6,Node_24,84,6.9,167,Hydro,491,0.17
6,Node_25,138,3.81,465,Solar,555,0.11
6,Node_25,138,3.81,465,Wind,337,0.17
6,Node_25,138,3.81,465,Hydro,560,0.17
6,Node_26,190,8.78,471,Solar,385,0.11
6,Node_26,190,8.78,471,Wind,559,0.17
6,Node_26,190,8.78,471,Hydro,369,0.17
6,Node_27,122,5.43,313,Solar,449,0.11
6,Node_27,122,5.43,313,Wind,487,0.17
6,Node_27,122,5.43,313,Hydro,389,0.17
6,Node_28,124,3.13,242,Solar,534,0.11
6,Node_28,124,3.13,242,Wind,356,0.17
6,Node_28,124,3.13,242,Hydro,559,0.17
6,Node_29,132,7.31,475,Solar,321,0.11
6,Node_29,132,7.31,475,Wind,319,0.17
6,Node_29,132,7.31,475,Hydro,425,0.17
6,Node_3,167,9.84,243,Solar,584,0.11
6,Node_3,167,9.84,243,Wind,572,0.17
6,Node_3,167,9.84,243,Hydro,530,0.17
6,Node_30,194,3.73,331,Solar,568,0.11
6,Node_30,194,3.73,331,Wind,418,0.17
6,Node_30,194,3.73,331,Hydro,594,0.17
6,Node_4,165,3.16,467,Solar,557,0.11
6,Node_4,165,3.16,467,Wind,370,0.17
6,Node_4,165,3.16,467,Hydro,428,0.17
6,Node_5,66,7.8,224,Solar,328,0.11
6,Node_5,66,7.8,224,Wind,303,0.17
6,Node_5,66,7.8,224,Hydro,579,0.17
6,Node_6,171,3.53,266,Solar,512,0.11
6,Node_6,171,3.53,266,Wind,520,0.17
6,Node_6,171,3.53,266,Hydro,399,0.17
6,Node_7,169,4.71,185,Solar,582,0.11
6,Node_7,169,4.71,185,Wind,313,0.17
6,Node_7,169,4.71,185,Hydro,596,0.17
6,Node_8,119,4.47,175,Solar,349,0.11
6,Node_8,119,4.47,175,Wind,302,0.17
6,Node_8,119,4.47,175,Hydro,481,0.17
6,Node_9,114,9.58,443,Solar,394,0.11
6,Node_9,114,9.58,443,Wind,515,0.17
6,Node_9,114,9.58,443,Hydro,473,0.17
7,Node_1,152,7.0,429,Solar,387,0.11
7,Node_1,152,7.0,429,Wind,528,0.17
7,Node_1,152,7.0,429,Hydro,487,0.17
7,Node_10,133,9.74,393,Solar,343,0.11
7,Node_10,133,9.74,393,Wind,485,0.17
7,Node_10,133,9.74,393,Hydro,356,0.17
7,Node_11,87,3.46,158,Solar,577,0.11
7,Node_11,87,3.46,158,Wind,354,0.17
